image_id,split,has_annotations,total_instances,falsecopper,missinghole,mousebite,opencircuit,pinhole,scratch,shortcircuit,spur
01_missing-hole_open-circuit_03_jpg.rf.8183f03aa886a083d394359b3357484b.jpg,train,Yes,4,0,3,0,1,0,0,0,0
01_missing-hole_open-circuit_04_jpg.rf.3f76a64acbea4ed29eba0ad0beec97be.jpg,train,Yes,5,0,3,0,2,0,0,0,0
01_missing-hole_open-circuit_04_jpg.rf.ac56cb0ce8671aa5342d530bf30bb729.jpg,train,Yes,5,0,3,0,2,0,0,0,0
01_missing-hole_open-circuit_04_jpg.rf.f186d5d8912baec518ee0964bebbff44.jpg,train,Yes,5,0,3,0,2,0,0,0,0
01_missing-hole_open-circuit_05_jpg.rf.e2619da813875c0f358c9665993e7708.jpg,train,Yes,5,0,3,0,2,0,0,0,0
01_missing-hole_short_10_jpg.rf.0709017fef39b27289039f87f39f8229.jpg,train,Yes,5,0,3,0,0,0,0,2,0
01_missing-hole_short_10_jpg.rf.c519feec15466fc5100ee8e85e8c1341.jpg,train,Yes,5,0,3,0,0,0,0,2,0
01_missing-hole_short_11_jpg.rf.0e3fd7649c0cdac1f5a8922a7dcef073.jpg,train,Yes,5,0,3,0,0,0,0,2,0
01_missing-hole_short_11_jpg.rf.8f5a90af7e50771db7bd8fe97a8c615c.jpg,train,Yes,5,0,3,0,0,0,0,2,0
01_missing-hole_short_11_jpg.rf.be96bfce60bb6bce130f060c9714c029.jpg,train,Yes,5,0,3,0,0,0,0,2,0
01_missing-hole_short_12_jpg.rf.712a2c721a0476237a927a74bd6232c7.jpg,train,Yes,5,0,3,0,0,0,0,2,0
01_missing-hole_short_12_jpg.rf.e6a945b5a4bf8ff153f4e84a12673da3.jpg,train,Yes,5,0,3,0,0,0,0,2,0
01_missing-hole_short_6_jpg.rf.339ee8349719c9ed2b484d05750d6cf8.jpg,train,Yes,5,0,3,0,0,0,0,2,0
01_missing-hole_short_6_jpg.rf.bd593d9cbc6b5681d13963b59fd10bcf.jpg,train,Yes,5,0,3,0,0,0,0,2,0
01_missing-hole_short_7_jpg.rf.042fb4d99930da91ba22c6fee7657d8c.jpg,train,Yes,5,0,3,0,0,0,0,2,0
01_missing-hole_short_7_jpg.rf.23403b24ff5f262748c13511a136def3.jpg,train,Yes,5,0,3,0,0,0,0,2,0
01_missing-hole_short_7_jpg.rf.9cf8fcd11cbb0b55db15c3e6b8e71a01.jpg,train,Yes,5,0,3,0,0,0,0,2,0
01_missing-hole_short_8_jpg.rf.133d11261aa992030dc7c613d4b54ed7.jpg,train,Yes,5,0,3,0,0,0,0,2,0
01_missing-hole_short_8_jpg.rf.dba36e410e2dc6f18ebd14b7823217b2.jpg,train,Yes,5,0,3,0,0,0,0,2,0
01_missing-hole_short_9_jpg.rf.12b9d32bfd5cd918b74f8bb5960fc765.jpg,train,Yes,5,0,3,0,0,0,0,2,0
01_missing_hole_05_jpg.rf.7e9fe2624935e7427261c9f1d343e96a.jpg,train,Yes,4,0,4,0,0,0,0,0,0
01_missing_hole_07_jpg.rf.47a76683e197263181bddc454eff3235.jpg,train,Yes,3,0,3,0,0,0,0,0,0
01_missing_hole_07_jpg.rf.e1390f90db39af76d4676b932a81a8d0.jpg,train,Yes,3,0,3,0,0,0,0,0,0
01_missing_hole_07_jpg.rf.eafed7f595c915f207acbe5fe107bcec.jpg,train,Yes,3,0,3,0,0,0,0,0,0
01_missing_hole_10_jpg.rf.75dc92767faf59c8c8b1aa21c4af41d9.jpg,train,Yes,3,0,3,0,0,0,0,0,0
01_missing_hole_12_jpg.rf.1343490fc99f4a96b33e90a29522d2ca.jpg,train,Yes,3,0,3,0,0,0,0,0,0
01_missing_hole_12_jpg.rf.c18b40df4c282df282063f83afc9005e.jpg,train,Yes,3,0,3,0,0,0,0,0,0
01_missing_hole_12_jpg.rf.e3357a4f42e9c39881082fcc83d9fb2f.jpg,train,Yes,3,0,3,0,0,0,0,0,0
01_missing_hole_13_jpg.rf.6dc08c37647d222869ceff8a05ae76b3.jpg,train,Yes,3,0,3,0,0,0,0,0,0
01_missing_hole_13_jpg.rf.9a6042604c5793f6c7f937d4bd772dfd.jpg,train,Yes,3,0,3,0,0,0,0,0,0
01_missing_hole_16_jpg.rf.69985445bab0cc7d475573f47c232585.jpg,train,Yes,3,0,3,0,0,0,0,0,0
01_missing_hole_16_jpg.rf.bc4721e4ceaf0b6744d49b9826f66caa.jpg,train,Yes,3,0,3,0,0,0,0,0,0
01_missing_hole_17_jpg.rf.d656ebcc5d14951ef582eccc8f5b6798.jpg,train,Yes,3,0,3,0,0,0,0,0,0
01_mouse-bite_short_03_jpg.rf.b7df06f75d1a19459250076af9eba5b2.jpg,train,Yes,6,0,0,3,0,0,0,3,0
01_mouse-bite_short_03_jpg.rf.c0faba55f72cf51645143615781adc2a.jpg,train,Yes,6,0,0,3,0,0,0,3,0
01_mouse-bite_short_03_jpg.rf.fa7a3b47b47641c44c8db02aa16f4d48.jpg,train,Yes,6,0,0,3,0,0,0,3,0
01_mouse-bite_short_05_jpg.rf.6009524ab4a6d5af88c5dd93ee91f6b0.jpg,train,Yes,6,0,0,3,0,0,0,3,0
01_mouse-bite_short_05_jpg.rf.97b02674329a30e9ba836e29c96ac6cd.jpg,train,Yes,6,0,0,3,0,0,0,3,0
01_mouse-bite_short_05_jpg.rf.e77210d9b1c5816faf5363627f681fce.jpg,train,Yes,6,0,0,3,0,0,0,3,0
01_mouse-bite_short_06_jpg.rf.ee00324b2b2fd169340f78fd5d76ec3c.jpg,train,Yes,6,0,0,3,0,0,0,3,0
01_mouse-bite_short_07_jpg.rf.0a5e2fd279313fdeaf9e32ef2cf23959.jpg,train,Yes,6,0,0,3,0,0,0,3,0
01_mouse-bite_short_07_jpg.rf.523d313a07d6838026dec1debfaab265.jpg,train,Yes,6,0,0,3,0,0,0,3,0
01_mouse-bite_short_07_jpg.rf.59b5aaef4accc6e9d4d94f0bd396b5c7.jpg,train,Yes,6,0,0,3,0,0,0,3,0
01_mouse-bite_short_11_jpg.rf.c4a859ee0d00574b5af1392e77bdb7f5.jpg,train,Yes,6,0,0,3,0,0,0,3,0
01_mouse-bite_short_13_jpg.rf.2faf9a968e033806c17d8e9b6536b645.jpg,train,Yes,6,0,0,3,0,0,0,3,0
01_mouse-bite_short_13_jpg.rf.b2c715c65a1e7e64f43c92f13e1a2d60.jpg,train,Yes,6,0,0,3,0,0,0,3,0
01_mouse-bite_short_14_jpg.rf.4f11e5213c2ad1ec59e29d788912343b.jpg,train,Yes,5,0,0,2,0,0,0,3,0
01_mouse-bite_short_14_jpg.rf.5227acfa945b78eaceeec00153b6af5a.jpg,train,Yes,5,0,0,2,0,0,0,3,0
01_mouse-bite_short_14_jpg.rf.e3130f92c318885fd622d03807bab473.jpg,train,Yes,5,0,0,2,0,0,0,3,0
01_mouse-bite_short_15_jpg.rf.8037aea83dff40d9528ac4e8c5a97fca.jpg,train,Yes,5,0,0,2,0,0,0,3,0
01_mouse-bite_short_15_jpg.rf.fbe022ca83a918a1c66e1be7dd376c5d.jpg,train,Yes,5,0,0,2,0,0,0,3,0
01_mouse-bite_spur_19_jpg.rf.386bce4d698dfe476dcabfad98e0195e.jpg,train,Yes,5,0,0,2,0,0,0,0,3
01_mouse-bite_spur_19_jpg.rf.c9cddb9343610bf3414886b8dbd13690.jpg,train,Yes,5,0,0,2,0,0,0,0,3
01_mouse-bite_spur_20_jpg.rf.0359d25c5570dd7ffd1895eed0b5c3c4.jpg,train,Yes,6,0,0,3,0,0,0,0,3
01_mouse-bite_spur_20_jpg.rf.2f5c460cac0d86a6760841486db65b98.jpg,train,Yes,6,0,0,3,0,0,0,0,3
01_mouse-bite_spur_20_jpg.rf.f758f84edda83cd8498fdbd95d082629.jpg,train,Yes,6,0,0,3,0,0,0,0,3
01_mouse-bite_spur_scratch_19_jpg.rf.1cd778c1fd07ed3b5fbba25a35325640.jpg,train,Yes,8,0,0,2,0,0,3,0,3
01_mouse-bite_spur_scratch_19_jpg.rf.7b6b3b103ff6f301fe9defb97be1a095.jpg,train,Yes,8,0,0,2,0,0,3,0,3
01_mouse_bite_01_jpg.rf.72fc23b67a9e9b787b51b5aa5c3a3c62.jpg,train,Yes,3,0,0,3,0,0,0,0,0
01_mouse_bite_01_jpg.rf.8a24499bcb63ea92f28b66d5f2f6efaa.jpg,train,Yes,3,0,0,3,0,0,0,0,0
01_mouse_bite_01_jpg.rf.a4a9427a0c0508a2d273c5762b7e6492.jpg,train,Yes,3,0,0,3,0,0,0,0,0
01_mouse_bite_02_jpg.rf.7679ef114eb5510aebec7428cc4f02b8.jpg,train,Yes,3,0,0,3,0,0,0,0,0
01_mouse_bite_03_jpg.rf.b0751189633fd22ddd9e9ce3014fa4f3.jpg,train,Yes,3,0,0,3,0,0,0,0,0
01_mouse_bite_03_jpg.rf.cd7815ccd59d659820c4628a9a687206.jpg,train,Yes,3,0,0,3,0,0,0,0,0
01_mouse_bite_03_jpg.rf.daafebc51afaeca3237690689ef047b3.jpg,train,Yes,3,0,0,3,0,0,0,0,0
01_mouse_bite_04_jpg.rf.3d8c221d5528936d76c00fd216722884.jpg,train,Yes,3,0,0,3,0,0,0,0,0
01_mouse_bite_04_jpg.rf.40696c4af07d3da01cb3b3afc499d4e1.jpg,train,Yes,3,0,0,3,0,0,0,0,0
01_mouse_bite_04_jpg.rf.6bef0f0620c5be9730ade4e7683a9f8d.jpg,train,Yes,3,0,0,3,0,0,0,0,0
01_mouse_bite_04_jpg.rf.d40c30d10fc52816b15c8f697f9d9019.jpg,train,Yes,3,0,0,3,0,0,0,0,0
01_mouse_bite_06_jpg.rf.1de2a506e4966d0dd9a4ae4aea7b02cd.jpg,train,Yes,3,0,0,3,0,0,0,0,0
01_mouse_bite_06_jpg.rf.2fd81ed0b52cd54f01d3bbf6f970669f.jpg,train,Yes,3,0,0,3,0,0,0,0,0
01_mouse_bite_07_jpg.rf.29ed41a9550c8881ce265eeb937ed58b.jpg,train,Yes,3,0,0,3,0,0,0,0,0
01_mouse_bite_07_jpg.rf.ab9398550bd2a88ba0a24c130ae7ee79.jpg,train,Yes,3,0,0,3,0,0,0,0,0
01_mouse_bite_08_jpg.rf.365b4481d2f1824ca8cc5dd911f42cfd.jpg,train,Yes,2,0,0,2,0,0,0,0,0
01_mouse_bite_08_jpg.rf.d15452b8f414d99fcbd56d23d6aa2eb7.jpg,train,Yes,2,0,0,2,0,0,0,0,0
01_mouse_bite_10_jpg.rf.faf822da4bbc744a5d78aed2b15e36bc.jpg,train,Yes,2,0,0,2,0,0,0,0,0
01_mouse_bite_11_jpg.rf.d0065e2485c265c07ac4c4c12f9b2cd2.jpg,train,Yes,3,0,0,3,0,0,0,0,0
01_mouse_bite_12_jpg.rf.28c521b95bd6c5dc2c142db124b54af8.jpg,train,Yes,3,0,0,3,0,0,0,0,0
01_mouse_bite_12_jpg.rf.71d10dff4ed21f2c850db711a7d9cf5c.jpg,train,Yes,3,0,0,3,0,0,0,0,0
01_mouse_bite_12_jpg.rf.8f5b011062132cc5f575e6140bf88cd9.jpg,train,Yes,3,0,0,3,0,0,0,0,0
01_mouse_bite_12_jpg.rf.b544721788087e7735590d534e0e3da6.jpg,train,Yes,3,0,0,3,0,0,0,0,0
01_mouse_bite_15_jpg.rf.e800413a005f4c6f23784a638ff474a7.jpg,train,Yes,2,0,0,2,0,0,0,0,0
01_open-circuit_pinhole_06_jpg.rf.5a43418014d89b0d3c67527ffc8cf8b2.jpg,train,Yes,7,0,0,0,3,4,0,0,0
01_open-circuit_pinhole_06_jpg.rf.8afb1c3811d5b1097cc0fd4d985ad814.jpg,train,Yes,7,0,0,0,3,4,0,0,0
01_open-circuit_pinhole_07_jpg.rf.760fa2d0aad0f857892746e839865118.jpg,train,Yes,7,0,0,0,3,4,0,0,0
01_open-circuit_pinhole_09_jpg.rf.28bb84cc7f6f7d05f973c33554aea14a.jpg,train,Yes,7,0,0,0,3,4,0,0,0
01_open-circuit_pinhole_09_jpg.rf.3c4cd8d3ed36e8758ff720a73202d011.jpg,train,Yes,7,0,0,0,3,4,0,0,0
